term,coef,se,z,p,ci_lower,ci_upper
Intercept,0.47134510067117286,0.09381848129708842,5.024011198588872,5.06032845080873e-07,0.2874642562446349,0.6552259450977108
LocationType[T.Source],0.021945048917168523,0.1153982752037484,0.19016791090180607,0.8491775556419516,-0.2042314143602199,0.24812151219455697
TSVR_hours,-0.0016470934272388516,0.001118520625544214,-1.4725641974080375,0.14086858468528313,-0.0038393535692707232,0.00054516671479302
TSVR_hours:LocationType[T.Source],-0.0027249243310706783,0.0015129878516335516,-1.801021950129088,0.07169942033143636,-0.0056903260293190705,0.00024047736717771337
log_TSVR,-0.10211277796115338,0.03794623593504959,-2.690985691859767,0.007124125022521078,-0.17648603374271016,-0.027739522179596604
log_TSVR:LocationType[T.Source],0.03260421610284081,0.053252626084341274,0.6122555543308305,0.5403686908361613,-0.07176901310464633,0.13697744531032796
Age_c,-0.003233267639945138,0.006482532579973897,-0.4987661226622261,0.6179441561442672,-0.015938798025301494,0.009472262745411218
Age_c:LocationType[T.Source],-0.008445083211330334,0.007981583126433225,-1.058071196848417,0.2900229847086453,-0.02408869867875206,0.007198532256091392
TSVR_hours:Age_c,0.00012270991665722317,7.807690764635546e-05,1.5716544155799583,0.11603071927991938,-3.0318010353893487e-05,0.0002757378436683398
TSVR_hours:Age_c:LocationType[T.Source],-0.0001854805829103251,0.00010586708712566924,-1.7520136611499557,0.07977145889318658,-0.00039297626082480084,2.2015095004150636e-05
log_TSVR:Age_c,-0.0025478015214334473,0.0026386736913710856,-0.9655614219238984,0.3342636871971525,-0.007719506923474133,0.0026239038806072385
log_TSVR:Age_c:LocationType[T.Source],0.00515062263888309,0.0037067641576851024,1.3895199208194802,0.1646747076138232,-0.0021145016093636606,0.01241574688712984
